block_time,from_addr,to_addr,value_usd,gas_price_gwei,gas_used,method_id,success,source,facilitator_addr,block_time_s,network,is_x402,baseline_eth_usd_assumption
2026-04-25 09:42:43+00:00,0x6bd09cf1482609986cc1233e71f47c8e07326090,0xa9dd7cc9cbf0e05551332209289f04be36bc2315,0.001,0.01,85740.0,0xe3ee160e,True,dune_x402_live,0xa32ccda98ba7529705a059bd2d213da8de10d101,68.0,base,True,3000.0
2026-04-25 09:42:45+00:00,0x6bd09cf1482609986cc1233e71f47c8e07326090,0xa9dd7cc9cbf0e05551332209289f04be36bc2315,0.001,0.01,85720.0,0xe3ee160e,True,dune_x402_live,0x97acce27d5069544480bde0f04d9f47d7422a016,70.0,base,True,3000.0
2026-04-25 09:42:45+00:00,0x6bd09cf1482609986cc1233e71f47c8e07326090,0xa9dd7cc9cbf0e05551332209289f04be36bc2315,0.001,0.01,85720.0,0xe3ee160e,True,dune_x402_live,0x67b9ce703d9ce658d7c4ac3c289cea112fe662af,70.0,base,True,3000.0
2026-04-25 09:42:45+00:00,0x0360d000622f942b9656d59c679d19d5d12ec989,0xca87adbcffdf6539a387783fef17a91dbabeef52,0.001,0.01,85756.0,0xe3ee160e,True,dune_x402_live,0x97acce27d5069544480bde0f04d9f47d7422a016,70.0,base,True,3000.0
2026-04-25 09:42:45+00:00,0xebb975a2ceea722bba01faa84768bd753de8228c,0x10c140022927429afb5f7779f4bc5495da8c1e24,0.5,0.01,80988.0,0xe3ee160e,True,dune_x402_live,0x97acce27d5069544480bde0f04d9f47d7422a016,70.0,base,True,3000.0
2026-04-25 09:42:45+00:00,0x6bd09cf1482609986cc1233e71f47c8e07326090,0xa9dd7cc9cbf0e05551332209289f04be36bc2315,0.001,0.01,85740.0,0xe3ee160e,True,dune_x402_live,0x67b9ce703d9ce658d7c4ac3c289cea112fe662af,70.0,base,True,3000.0
2026-04-25 09:42:47+00:00,0x6bd09cf1482609986cc1233e71f47c8e07326090,0xa9dd7cc9cbf0e05551332209289f04be36bc2315,0.001,0.01,85740.0,0xe3ee160e,True,dune_x402_live,0x67b9ce703d9ce658d7c4ac3c289cea112fe662af,72.0,base,True,3000.0
2026-04-25 09:42:47+00:00,0x0360d000622f942b9656d59c679d19d5d12ec989,0x9173fc7aca730ae34838f08dfe85d4a608f38c38,0.001,0.01,85776.0,0xe3ee160e,True,dune_x402_live,0xa32ccda98ba7529705a059bd2d213da8de10d101,72.0,base,True,3000.0
2026-04-25 09:42:55+00:00,0x9d051fe5c1e49f4ad2843f80e9026ddf015ac6e3,0x7d2ceb7a0e0c39a3d0f7b5b491659fde4bb7bcfe,0.05,0.01,85776.0,0xe3ee160e,True,dune_x402_live,0x67b9ce703d9ce658d7c4ac3c289cea112fe662af,80.0,base,True,3000.0
2026-04-25 09:42:55+00:00,0xadb949fbfca9a63b28919439db9ef7e5a3beacc9,0x87a6cd8c67649cb1c2221d87fedc3fcf2b22b359,0.33,0.006,80932.0,0xe3ee160e,True,dune_x402_live,0xc67b555b4a9d340ed7c5d87743163c31a75f2254,80.0,base,True,3000.0
2026-04-25 09:42:57+00:00,0xf68c8414a426dac5098387bd79288f23193950e4,0x10c140022927429afb5f7779f4bc5495da8c1e24,0.302967,0.01,80980.0,0xe3ee160e,True,dune_x402_live,0x67b9ce703d9ce658d7c4ac3c289cea112fe662af,82.0,base,True,3000.0
2026-04-25 09:42:59+00:00,0xbb08af535b962497cab65a942f11a2d1518335b6,0x10c140022927429afb5f7779f4bc5495da8c1e24,0.667112,0.01,80988.0,0xe3ee160e,True,dune_x402_live,0x8f5cb67b49555e614892b7233cfddebfb746e531,84.0,base,True,3000.0
2026-04-25 09:43:11+00:00,0x9d051fe5c1e49f4ad2843f80e9026ddf015ac6e3,0x7d2ceb7a0e0c39a3d0f7b5b491659fde4bb7bcfe,0.05,0.01,85744.0,0xe3ee160e,True,dune_x402_live,0x67b9ce703d9ce658d7c4ac3c289cea112fe662af,96.0,base,True,3000.0
2026-04-25 09:43:13+00:00,0x348ae5624d7b2ea90fbdc666264a1d4846d14958,0x87a6cd8c67649cb1c2221d87fedc3fcf2b22b359,0.31,0.006,80952.0,0xe3ee160e,True,dune_x402_live,0xc67b555b4a9d340ed7c5d87743163c31a75f2254,98.0,base,True,3000.0
2026-04-25 09:43:13+00:00,0xf63e58d9cc85ac6316ac19868273e0573584b61a,0x10c140022927429afb5f7779f4bc5495da8c1e24,0.5,0.01,80980.0,0xe3ee160e,True,dune_x402_live,0x8f5cb67b49555e614892b7233cfddebfb746e531,98.0,base,True,3000.0
2026-04-25 09:43:27+00:00,0x5b2b12361cf46cb78945813f269ce505bc65f2b1,0xa9dd7cc9cbf0e05551332209289f04be36bc2315,0.001,0.01,85740.0,0xe3ee160e,True,dune_x402_live,0x68a96f41ff1e9f2e7b591a931a4ad224e7c07863,112.0,base,True,3000.0
2026-04-25 09:43:27+00:00,0x9d051fe5c1e49f4ad2843f80e9026ddf015ac6e3,0x7d2ceb7a0e0c39a3d0f7b5b491659fde4bb7bcfe,0.05,0.01,85788.0,0xe3ee160e,True,dune_x402_live,0x8f5cb67b49555e614892b7233cfddebfb746e531,112.0,base,True,3000.0
2026-04-25 09:43:29+00:00,0xc7f347369e5e26c03c050c5ec9cc366b1819c044,0x5f114bb1b71f78fcc601ecc479978d685f2d468a,0.320916,0.006,85780.0,0xe3ee160e,True,dune_x402_live,0x37dfb4033d5dd98fd335f24d0d42e8fe68d587d6,114.0,base,True,3000.0
2026-04-25 09:43:29+00:00,0x3acbdb0631f7f33ff5da07202b80fca050c1e5d0,0x10c140022927429afb5f7779f4bc5495da8c1e24,0.545155,0.01,80988.0,0xe3ee160e,True,dune_x402_live,0x97acce27d5069544480bde0f04d9f47d7422a016,114.0,base,True,3000.0
2026-04-25 09:43:31+00:00,0x5b2b12361cf46cb78945813f269ce505bc65f2b1,0xa9dd7cc9cbf0e05551332209289f04be36bc2315,0.001,0.01,85716.0,0xe3ee160e,True,dune_x402_live,0x68a96f41ff1e9f2e7b591a931a4ad224e7c07863,116.0,base,True,3000.0
2026-04-25 09:43:35+00:00,0x4104322f4350c1f3a5dcad2cfbe452ab7f53b24c,0x87a6cd8c67649cb1c2221d87fedc3fcf2b22b359,0.36,0.006,80932.0,0xe3ee160e,True,dune_x402_live,0xc67b555b4a9d340ed7c5d87743163c31a75f2254,120.0,base,True,3000.0
