from_addr,composite_score,tier,inter_arrival_anomaly,tod_uniformity_anomaly,gas_tightness_anomaly,counterparty_concentration,method_concentration,burst_intensity,drift_signal,coordination,explanation
0x9430801ebaf509ad49202aabc5f5bc6fd8a3daf8,39.60170678870673,medium,100.0,18.242552380635637,18.242552380635637,18.242552380635637,18.242552380635637,18.242552380635637,50.56762881264182,57.32941652707437,inter-arrival CV 1.00 (bursty); coordinated with 545 other wallets; 100% of late-window tx to new counterparties
0x4029a9b430a86363a791d7079270c490cdc6a579,38.090471180498994,medium,100.0,18.242552380635637,18.242552380635637,18.242552380635637,18.242552380635637,18.242552380635637,27.340664720355424,62.7391552005471,inter-arrival CV 0.36 (bursty); coordinated with 571 other wallets; 67% of late-window tx to new counterparties
0x2cff890f0378a11913b6129b2e97417a2c302680,37.36671299117232,medium,100.0,18.242552380635637,18.242552380635637,18.242552380635637,18.242552380635637,18.242552380635637,35.95399176074925,52.17188257810672,inter-arrival CV 0.78 (bursty); coordinated with 521 other wallets; 80% of late-window tx to new counterparties
0xeb27e2a5c5842e7d4840761ad4b7c4b2182663f5,36.28222067019361,medium,100.0,18.242552380635637,18.242552380635637,18.242552380635637,18.242552380635637,18.242552380635637,7.7445211487036865,63.74824751294571,inter-arrival CV 0.82 (bursty); coordinated with 576 other wallets; 24h-uniform timing (KS 0.96)
0x285282aeacccdd62236d2ae3b579e98e38edab3e,35.65702313122541,medium,100.0,18.242552380635637,18.242552380635637,18.242552380635637,18.242552380635637,18.242552380635637,4.844665475728493,61.51350103514114,inter-arrival CV 0.96 (bursty); coordinated with 565 other wallets; 24h-uniform timing (KS 0.96)
0x3304e22ddaa22bcdc5fca2269b418046ae7b566a,35.51877559948554,medium,100.0,18.242552380635637,18.242552380635637,18.242552380635637,18.242552380635637,18.242552380635637,50.56762881264182,30.1098752655998,inter-arrival CV 0.85 (bursty); 100% of late-window tx to new counterparties; coordinated with 414 other wallets
0x8ccb6434000a82ca5811906971a27c289e0ac9bf,35.302599593202984,medium,100.0,18.242552380635637,18.242552380635637,18.242552380635637,18.242552380635637,18.242552380635637,50.56762881264182,28.66870189038277,inter-arrival CV 0.12 (cron); 100% of late-window tx to new counterparties; coordinated with 406 other wallets
0x70114f99f5b5f8068a9f4fdd01f9350ce866a709,35.21979348116506,medium,100.0,18.242552380635637,18.242552380635637,18.242552380635637,18.242552380635637,18.242552380635637,4.844665475728493,58.598636701405496,inter-arrival CV 0.60 (bursty); coordinated with 551 other wallets; 24h-uniform timing (KS 0.96)
0xcdc701dc513141ddbdfe902c97d4bfb3a69dac1b,35.21979348116506,medium,100.0,18.242552380635637,18.242552380635637,18.242552380635637,18.242552380635637,18.242552380635637,4.844665475728493,58.598636701405496,inter-arrival CV 0.60 (bursty); coordinated with 551 other wallets; 24h-uniform timing (KS 0.96)
0xa2448cbadd6a7f683630fe9e3ab5918d36f90241,35.21979348116506,medium,100.0,18.242552380635637,18.242552380635637,18.242552380635637,18.242552380635637,18.242552380635637,4.844665475728493,58.598636701405496,inter-arrival CV 0.60 (bursty); coordinated with 551 other wallets; 24h-uniform timing (KS 0.96)
0xcf1a2aafc6062d1a78fe999c22584fef8831d277,34.997531537267236,medium,100.0,18.242552380635637,18.242552380635637,18.242552380635637,18.242552380635637,18.242552380635637,4.844665475728493,57.11689040875331,inter-arrival CV 1.09 (bursty); coordinated with 544 other wallets; 24h-uniform timing (KS 0.96)
