feature,mutual_information
tx_count,1.3554374386388208
inter_arrival_cv,1.2827142693337463
burstiness,1.2647644460830887
inter_arrival_mean_s,1.2293422221807835
value_std,1.134271574396682
gas_used_cv,1.066984212772178
inter_arrival_std_s,1.0322604597984126
counterparty_entropy,1.0300712737721358
inter_arrival_entropy,1.0208401972740773
tod_human_kl,1.0164194435189593
value_log_std,1.0027702194692871
gas_to_basefee_mean,0.9906179508424129
value_entropy,0.9465754905983643
tod_uniformity_ks,0.9435628941689007
gas_optimisation_score,0.9383248963829869
counterparty_top1_share,0.9344107825977026
large_value_share,0.920412572841995
gas_price_std_gwei,0.8816130586073556
max_burst_60s,0.8303321113230804
counterparty_repeat_rate,0.8182939175706938
gas_to_basefee_std,0.8162813807221498
gas_price_mean_gwei,0.7794928456807964
value_mean,0.7540620797205664
erc20_transfer_share,0.7370793682475925
bursts_per_hour,0.7189547367402784
mean_inter_burst_minutes,0.7086044487310297
value_median,0.6848241924859522
new_counterparty_late_share,0.6381747767186834
unique_counterparties,0.5281492860893253
native_share,0.5131724470722778
method_top1_share,0.4833990753516293
counterparty_top3_share,0.4660528169751723
coordination_partner_count,0.39856427803537287
unique_method_ids,0.2545764544467026
success_rate,0.10393514496413658
coordination_proxy,0.0
